City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
188,Barras,-4.2444,-42.2944,301.78,51,75,4.48,BR,2021-09-16 23:53:47,broken clouds
189,Teguldet,57.3064,88.1667,281.26,97,99,1.71,RU,2021-09-16 23:46:21,overcast clouds
190,Iquitos,-3.7481,-73.2472,301.17,78,20,1.54,PE,2021-09-16 23:53:48,few clouds
191,New+Norfolk,-42.7826,147.0587,285.33,63,27,0.89,AU,2021-09-16 23:46:13,scattered clouds
192,Waingapu,-9.6567,120.2641,301.0,69,22,4.61,ID,2021-09-16 23:53:49,few clouds
193,Salalah,17.0151,54.0924,299.2,89,20,0.0,OM,2021-09-16 23:47:37,few clouds
194,Kutum,14.2,24.6667,300.59,29,75,2.52,SD,2021-09-16 23:53:50,broken clouds
195,Saskylakh,71.9167,114.0833,274.05,97,100,8.57,RU,2021-09-16 23:53:50,light rain
196,Touros,-5.1989,-35.4608,298.65,82,0,7.73,BR,2021-09-16 23:53:51,clear sky
197,Andros,37.8333,24.9333,295.46,58,1,1.5,GR,2021-09-16 23:53:51,clear sky
198,Bardiyah,31.7561,25.0865,297.52,70,0,6.12,LY,2021-09-16 23:53:52,clear sky
199,Buchanan,5.8808,-10.0467,297.84,87,90,2.46,LR,2021-09-16 23:50:30,light rain
200,Tando+Adam,25.7637,68.661,301.18,69,0,4.36,PK,2021-09-16 23:53:53,clear sky
201,Central+Point,42.376,-122.9164,303.3,25,1,1.79,US,2021-09-16 23:51:29,smoke
202,Bandarbeyla,9.4942,50.8122,298.57,84,82,12.02,SO,2021-09-16 23:47:15,broken clouds
203,Saldanha,-33.0117,17.9442,283.18,74,0,7.67,ZA,2021-09-16 23:49:10,clear sky
204,Okha,53.5739,142.9478,285.54,90,100,6.59,RU,2021-09-16 23:53:54,light rain
205,Capreol,46.706,-80.9225,291.41,55,75,4.63,CA,2021-09-16 23:53:54,broken clouds
206,Adre,13.4667,22.2,298.84,34,73,2.66,TD,2021-09-16 23:53:55,broken clouds
207,Sterling,39.0062,-77.4286,296.4,95,90,0.0,US,2021-09-16 23:53:56,overcast clouds
208,Zapolyarnyy,69.4154,30.8136,276.75,72,98,1.65,RU,2021-09-16 23:53:56,overcast clouds
209,Rawson,-43.3002,-65.1023,288.28,45,100,6.72,AR,2021-09-16 23:53:56,overcast clouds
210,Diffa,13.3154,12.6113,303.94,31,50,3.3,NE,2021-09-16 23:51:37,scattered clouds
211,Laguna,38.421,-121.4238,306.73,42,1,1.79,US,2021-09-16 23:48:22,smoke
212,Kaeo,-35.1,173.7833,287.21,82,95,3.48,NZ,2021-09-16 23:44:43,overcast clouds
213,Moron,-34.6534,-58.6198,292.09,42,0,1.34,AR,2021-09-16 23:53:58,clear sky
214,Pevek,69.7008,170.3133,272.62,78,100,8.38,RU,2021-09-16 23:48:37,overcast clouds
215,Faanui,-16.4833,-151.75,299.34,69,5,9.4,PF,2021-09-16 23:53:59,clear sky
216,Safaga,26.7292,33.9365,301.12,44,0,8.62,EG,2021-09-16 23:53:59,clear sky
217,Harrismith,-28.2728,29.1295,280.55,85,86,4.63,ZA,2021-09-16 23:53:59,overcast clouds
218,Mayor+Pablo+Lagerenza,-19.9309,-60.7718,295.61,43,6,2.67,PY,2021-09-16 23:54:00,clear sky
219,Skjervoy,70.0311,20.9714,280.6,70,100,5.41,NO,2021-09-16 23:48:21,overcast clouds
220,Chulumani,-16.4096,-67.5263,290.89,96,98,0.75,BO,2021-09-16 23:54:01,overcast clouds
221,Butajira,8.1167,38.3667,287.16,72,94,1.16,ET,2021-09-16 23:54:01,overcast clouds
222,Rabo+De+Peixe,37.8,-25.5833,293.88,83,20,1.03,PT,2021-09-16 23:49:07,few clouds
223,Balch+Springs,32.7287,-96.6228,305.87,50,40,2.24,US,2021-09-16 23:49:37,scattered clouds
224,Trairi,-3.2778,-39.2689,299.2,86,3,4.93,BR,2021-09-16 23:50:44,clear sky
225,Altamirano,16.8833,-92.15,289.18,97,94,0.73,MX,2021-09-16 23:54:02,overcast clouds
226,Lesozavodsk,45.4794,133.4244,289.8,83,60,1.85,RU,2021-09-16 23:54:03,broken clouds
227,Rondonopolis,-16.4708,-54.6356,304.49,33,55,2.31,BR,2021-09-16 23:49:04,broken clouds
228,Flinders,-34.5833,150.8552,293.18,67,3,2.68,AU,2021-09-16 23:50:14,clear sky
229,Luderitz,-26.6481,15.1594,289.76,39,14,5.85,NA,2021-09-16 23:48:36,few clouds
230,Caborca,30.5838,-111.101,306.76,33,3,3.05,MX,2021-09-16 23:54:04,clear sky
231,Semirom,31.4167,51.5667,286.18,27,0,0.98,IR,2021-09-16 23:54:05,clear sky
232,Vila+Franca+Do+Campo,37.7167,-25.4333,294.38,89,57,1.92,PT,2021-09-16 23:43:07,broken clouds
233,Mount+Isa,-20.7333,139.5,303.02,19,2,6.69,AU,2021-09-16 23:50:33,clear sky
234,Hasaki,35.7333,140.8333,294.37,66,100,3.94,JP,2021-09-16 23:46:24,overcast clouds
235,Dawei,14.0833,98.2,297.09,94,100,1.34,MM,2021-09-16 23:54:06,overcast clouds
236,Yeniseysk,58.4497,92.1703,280.24,93,100,4.55,RU,2021-09-16 23:54:07,light rain
237,Coxim,-18.5067,-54.76,304.55,41,67,2.23,BR,2021-09-16 23:54:07,broken clouds
